University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline,Programme Duration,Accomodation,Category,Level




University of Debrecen ,Debrecen ,Agricultural Engineering,6687,6687,15/6/23,3.5,YES,Agriculture ,Bachelors 
University of Debrecen ,Debrecen ,Agribusiness and Rural Development Engineering,6678,6678,,3.5,YES,Agriculture ,Bachelors 
University of Debrecen ,Debrecen ,Environmental Engineering ,7166,7166,,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Food Engineering,6678,6678,15/6/23,3.5,YES,Agriculture ,Bachelors 
University of Debrecen ,Debrecen ,Precision Agricultural Engineering,6678,6678,15/6/23,3.5,YES,Agriculture ,Bachelors 
University of Debrecen ,Debrecen ,Rural Development Engineering,6678,6678,15/6/23,3.5,YES,Agriculture ,Bachelors 
University of Debrecen ,Debrecen ,Business Administration and Management,6678,6678,15/6/23,3.5,YES,Business and management ,Bachelors 
University of Debrecen ,Debrecen ,Commerce and Marketing,6678,6678,15/6/23,3.5,YES,Business and management ,Bachelors 
University of Debrecen ,Debrecen ,Biochemical Engineering,6678,6678,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Chemical Engineering,6678,6678,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Civil Engineering,7166,7166,15/6/23,4,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Electrical Engineering,6678,6678,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Mechanical Engineering,7166,7166,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Communication and Media Studies,5735,5735,,3,YES,Arts and media,Bachelors 
University of Debrecen ,Debrecen ,Mechatronics Engineering,7166,7166,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Contemporary Music,9557,9557,,3,YES,Performance arts ,Bachelors 
University of Debrecen ,Debrecen ,Vehicle Engineering,6678,6678,15/6/23,3.5,YES,Engineering ,Bachelors 
University of Debrecen ,Debrecen ,Nursing and Patient Care - Dietetics,5735,5735,31/5/23,4,YES,Health sciences ,Bachelors 
University of Debrecen ,Debrecen ,Nursing and Patient Care - Physiotherapy,5735,5735,31/5/23,4,YES,Health sciences ,Bachelors 
University of Debrecen ,Debrecen ,Nursing and Patient Care - Nurse,6212,6212,31/5/23,4,YES,Health sciences ,Bachelors 
University of Debrecen ,Debrecen ,Health Care and Disease Prevention - Public Health,5735,5735,31/5/23,4,YES,Health sciences ,Bachelors 
University of Debrecen ,Debrecen ,English and american studies,5735,5735,15/6/23,3,YES,Humanities and education ,Bachelors 
University of Debrecen ,Debrecen ,Romance philology and culture - french studies,5735,5735,15/6/23,3,YES,Humanities and education ,Bachelors 
University of Debrecen ,Debrecen ,Kindergarden education,5735,5735,15/6/23,3,YES,Humanities and education ,Bachelors 
University of Debrecen ,Debrecen ,Psychology,5735,5735,15/6/23,3,YES,Humanities and education ,Bachelors 
University of Debrecen ,Debrecen ,Business Informatics,6678,6678,15/6/23,3.5,YES,Computer science ,Bachelors 
