Entry #,Institution,Country,Partner Source,Source / Note
1,KEDGE Business School,France,Existing Masterlist,Masterlist Universities.docx
2,Algebra University College,Croatia,Existing Masterlist,Masterlist Universities.docx
3,Collegium Da Vinci,Poland,Existing Masterlist,Masterlist Universities.docx
4,"International European University, Poland",Poland,Existing Masterlist,Masterlist Universities.docx
5,Wekerle Business School (WBS),Hungary,Existing Masterlist,Masterlist Universities.docx
6,International Business School (IBS),Hungary,Existing Masterlist,Masterlist Universities.docx
7,University of Debrecen,Hungary,Existing Masterlist,Masterlist Universities.docx
8,International Business School (IBS) Vienna,Austria,Existing Masterlist,Masterlist Universities.docx
9,New European College,Germany,Existing Masterlist,Masterlist Universities.docx
10,University of Europe for Applied Sciences (UE),Germany,Existing Masterlist,Masterlist Universities.docx
11,Gisma University of Applied Sciences,Germany,Existing Masterlist,Masterlist Universities.docx
12,Berlin School of Business and Innovation (BSBI),Germany,Existing Masterlist,Masterlist Universities.docx
13,Arden University (Berlin),Germany,Existing Masterlist,Masterlist Universities.docx
14,IU International University of Applied Sciences,Germany,Existing Masterlist,Masterlist Universities.docx
15,SRH University Berlin,Germany,Existing Masterlist,Masterlist Universities.docx
16,htk academy,Germany,Existing Masterlist,Masterlist Universities.docx
17,Steinbeis School of Management and Innovation,Germany,Existing Masterlist,Masterlist Universities.docx
18,Trinity College Dublin,Ireland,Existing Masterlist,Masterlist Universities.docx
19,UCD,Ireland,Existing Masterlist,Masterlist Universities.docx
20,UCC,Ireland,Existing Masterlist,Masterlist Universities.docx
21,NUI Galway,Ireland,Existing Masterlist,Masterlist Universities.docx
22,DCU,Ireland,Existing Masterlist,Masterlist Universities.docx
23,UL,Ireland,Existing Masterlist,Masterlist Universities.docx
24,Maynooth University,Ireland,Existing Masterlist,Masterlist Universities.docx
25,RCSI,Ireland,Existing Masterlist,Masterlist Universities.docx
26,TU Dublin,Ireland,Existing Masterlist,Masterlist Universities.docx
27,ATU,Ireland,Existing Masterlist,Masterlist Universities.docx
28,TUS,Ireland,Existing Masterlist,Masterlist Universities.docx
29,MTU,Ireland,Existing Masterlist,Masterlist Universities.docx
30,SETU,Ireland,Existing Masterlist,Masterlist Universities.docx
31,DkIT,Ireland,Existing Masterlist,Masterlist Universities.docx
32,National College of Ireland,Ireland,Existing Masterlist,Masterlist Universities.docx
33,Dublin Business School,Ireland,Existing Masterlist,Masterlist Universities.docx
34,Griffith College,Ireland,Existing Masterlist,Masterlist Universities.docx
35,Shannon College,Ireland,Existing Masterlist,Masterlist Universities.docx
36,CCT College,Ireland,Existing Masterlist,Masterlist Universities.docx
37,DIFC,Ireland,Existing Masterlist,Masterlist Universities.docx
38,City Education Group,Ireland,Existing Masterlist,Masterlist Universities.docx
39,Dorset College,Ireland,Existing Masterlist,Masterlist Universities.docx
40,Galway Business School,Ireland,Existing Masterlist,Masterlist Universities.docx
41,Holmes Institute,Ireland,Existing Masterlist,Masterlist Universities.docx
42,Independent College,Ireland,Existing Masterlist,Masterlist Universities.docx
43,ICD Business School,Ireland,Existing Masterlist,Masterlist Universities.docx
44,IBAT College Dublin,Ireland,Existing Masterlist,Masterlist Universities.docx
45,University of Applied Sciences Europe Amsterdam,Netherlands,Existing Masterlist,Masterlist Universities.docx
46,Cyprus International University,Cyprus,Existing Masterlist,Masterlist Universities.docx
47,University of Nicosia,Cyprus,Existing Masterlist,Masterlist Universities.docx
48,Aberystwyth University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
49,Anglia Ruskin University (ARU College),United Kingdom,Existing Masterlist,Masterlist Universities.docx
50,Amity University London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
51,Arden University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
52,Arts University Bournemouth,United Kingdom,Existing Masterlist,Masterlist Universities.docx
53,Aston University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
54,Bangor University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
55,"Birkbeck, University of London",United Kingdom,Existing Masterlist,Masterlist Universities.docx
56,Birmingham City University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
57,Bloomsbury Institute,United Kingdom,Existing Masterlist,Masterlist Universities.docx
58,BPP University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
59,Brunel University London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
60,Buckinghamshire New University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
61,Canterbury Christ Church University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
62,Cardiff Metropolitan University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
63,Coventry University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
64,Cranfield University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
65,De Montfort University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
66,Edge Hill University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
67,Edinburgh Napier University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
68,Falmouth University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
69,Glasgow Caledonian University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
70,Harper Adams University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
71,Heriot-Watt University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
72,Keele University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
73,Kingston University London,United Kingdom,Existing Masterlist,Masterlist Universities.docx
74,Lancaster University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
75,Leeds Trinity University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
76,Liverpool John Moores University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
77,London Metropolitan University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
78,London School of Business and Finance (LSBF),United Kingdom,Existing Masterlist,Masterlist Universities.docx
79,London College of Contemporary Arts (LCCA),United Kingdom,Existing Masterlist,Masterlist Universities.docx
80,London South Bank University,United Kingdom,Existing Masterlist,Masterlist Universities.docx
