university,country,title,level,field,duration,tuition_amount,tuition_currency,intake,deadline,source_url,source_checked_at,data_status,active
University of Debrecen,Hungary,Agricultural Engineering,Bachelors,Agriculture,3.5,6687,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Agribusiness and Rural Development Engineering,Bachelors,Agriculture,3.5,6678,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Environmental Engineering,Bachelors,Engineering,3.5,7166,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Food Engineering,Bachelors,Agriculture,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Precision Agricultural Engineering,Bachelors,Agriculture,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Rural Development Engineering,Bachelors,Agriculture,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Business Administration and Management,Bachelors,Business and management,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Commerce and Marketing,Bachelors,Business and management,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Biochemical Engineering,Bachelors,Engineering,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Chemical Engineering,Bachelors,Engineering,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Civil Engineering,Bachelors,Engineering,4,7166,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Electrical Engineering,Bachelors,Engineering,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Mechanical Engineering,Bachelors,Engineering,3.5,7166,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Communication and Media Studies,Bachelors,Arts and media,3,5735,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Mechatronics Engineering,Bachelors,Engineering,3.5,7166,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Contemporary Music,Bachelors,Performance arts,3,9557,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Vehicle Engineering,Bachelors,Engineering,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Nursing and Patient Care - Dietetics,Bachelors,Health sciences,4,5735,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Nursing and Patient Care - Physiotherapy,Bachelors,Health sciences,4,5735,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Nursing and Patient Care - Nurse,Bachelors,Health sciences,4,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Health Care and Disease Prevention - Public Health,Bachelors,Health sciences,4,5735,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,English and american studies,Bachelors,Humanities and education,3,5735,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Romance philology and culture - french studies,Bachelors,Humanities and education,3,5735,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Kindergarden education,Bachelors,Humanities and education,3,5735,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Psychology,Bachelors,Humanities and education,3,5735,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Business Informatics,Bachelors,Computer science,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Computer Science,Bachelors,Computer science,3,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Computer Science Engineering,Bachelors,Computer science,3.5,6678,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Musical Creative Art and Musicology,Bachelors,Performance arts,3,9557,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Classical Performing Arts - Music,Bachelors,Performance arts,3,9557,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Biology,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Chemistry,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Earth Sciences,Bachelors,Environmental science,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Biotechnology,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Mathematics,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,​Physics,Bachelors,Natural science and mathematics,3,6212,EUR,,31/5/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Animal Husbandry Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
University of Debrecen,Hungary,Agricultural Environmental Management Engineering,Masters,Agriculture and forestry,4,7660,EUR,,15/6/23,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
