name,country,networks,relationship,source_type,source_urls,program_families,application_management,status,student_visible_label
Bond University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
CQUniversity,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Charles Darwin University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Curtin University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Deakin University,Australia,ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Edith Cowan University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Federation University Australia,Australia,ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Flinders University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Griffith University,Australia,ABN_GLOBAL|APPLYBOARD,USER_CONFIRMED_NETWORK_ACCESS,MIXED,file-library:Masterlist Universities.docx|https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
La Trobe College Australia,Australia,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/australia,,true,ACTIVE,SOUP Application Network
La Trobe University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Macquarie University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Monash University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Murdoch University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
UTS College,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Newcastle Australia,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Southern Queensland,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
University of Tasmania,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Western Sydney University,Australia,ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
International Business School Vienna,Austria,DIRECT_SOUP,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Gomel State Medical University,Belarus,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
International University MITSO,Belarus,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Yanka Kupala State University of Grodno,Belarus,EEUA,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Brock University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Canadian College of Technology and Business,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Cape Breton University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Conestoga College,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Fleming College Toronto,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Fraser International College,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
International College of Manitoba,Canada,GUS|ABN_GLOBAL,USER_CONFIRMED_NETWORK_ACCESS,USER_MASTERLIST,file-library:Masterlist Universities.docx,,true,ACTIVE,SOUP Application Network
Lakehead University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
Laurentian University,Canada,APPLYBOARD,INDIRECT_RECRUITMENT_PARTNER,PUBLIC_WEB,https://www.applyboard.com/institution,,true,ACTIVE,SOUP Application Network
